id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
332412579,2013,1,regular,2013-08-29T22:00:00.000Z,,false,false,81572,3994,Williams-Brice Stadium,2579,South Carolina,SEC,27,17,3,7,0,0.6555861551331129,1758,1784,153,North Carolina,ACC,10,0,7,3,0,0.3444138448668871,1633,1607,4.25890580578514,,
332412309,2013,1,regular,2013-08-29T22:00:00.000Z,,false,false,20790,3696,Dix Stadium,2309,Kent State,Mid-American,17,7,0,0,10,0.39615746094100784,1530,1536,2335,Liberty,,10,0,3,7,0,0.6038425390589921,1467,1461,4.92354496667758,,
332410154,2013,1,regular,2013-08-29T22:30:00.000Z,,false,false,26202,3630,BB&T Field,154,Wake Forest,ACC,31,3,14,7,7,0.9997890971350881,,,2506,Presbyterian College,,7,7,0,0,0,0.00021090286491187715,,,4.07002718054182,,
332412116,2013,1,regular,2013-08-29T23:00:00.000Z,,false,false,35115,3652,Bright House Networks Stadium,2116,UCF,American Athletic,38,14,10,14,0,0.9950796210798765,1656,1681,2006,Akron,Mid-American,7,0,0,0,7,0.004920378920123536,1144,1119,4.05537719006069,,
332410084,2013,1,regular,2013-08-29T23:00:00.000Z,,false,false,40278,3830,Memorial Stadium,84,Indiana,Big Ten,73,21,24,21,7,0.9998105465210841,,,282,Indiana State,,35,7,14,7,7,0.0001894534789158575,,,2.04674235606456,,
332410135,2013,1,regular,2013-08-29T23:00:00.000Z,,false,false,44217,3953,TCF Bank Stadium,135,Minnesota,Big Ten,51,3,13,14,21,0.44832158545306755,1417,1466,2439,UNLV,Mountain West,23,6,7,3,7,0.5516784145469324,1207,1158,5.59899597331986,,
332412050,2013,1,regular,2013-08-29T23:00:00.000Z,,false,false,16327,3919,Scheumann Stadium,2050,Ball State,Mid-American,51,9,7,21,14,0.913624850459138,,,2287,Illinois State,,28,14,7,0,7,0.086375149540862,,,6.11620212911698,,
332410189,2013,1,regular,2013-08-29T23:00:00.000Z,,false,false,18142,3700,Doyt Perry Stadium,189,Bowling Green,Mid-American,34,3,3,7,21,0.6485347639292574,1450,1543,202,Tulsa,Conference USA,7,0,0,0,7,0.35146523607074265,1635,1542,5.35231614515028,,
332412393,2013,1,regular,2013-08-29T23:30:00.000Z,,false,false,20011,3725,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Conference USA,45,21,10,7,7,0.8618853071388419,,,2717,Western Carolina,,24,0,18,0,6,0.13811469286115807,,,2.08241588345359,,
332410006,2013,1,regular,2013-08-29T23:30:00.000Z,,false,false,15240,3797,Ladd Peebles Stadium,6,South Alabama,Sun Belt,21,0,7,7,7,0.2885044612495392,,,253,Southern Utah,,22,10,0,3,9,0.7114955387504608,,,6.48900149414574,,
